region	虻田 (1355)	厚真 (1419)	平取 (1512)	千歳 (1411)	江部乙 (1325)	萩野 (1329)	日高 (1514)	穂別 (1446)	幌別 (1420)	幌満 (1398)	三石 (1392)	鵡川 (1478)	室蘭 (1413)	新冠 (1430)	貫気別 (1498)	荻伏 (1401)	長万部 (1403)	礼文 (1399)	様似 (1403)	沙流 (1604)	白老 (1329)	静内 (1420)	高江 (1430)	高島 (1124)	豊浦 (1284)	浦河 (1400)	有珠 (1349)	空念 (105)	八雲 (1499)	旭川 (1331)	近文 (1311)	名寄 (1301)	宗谷 (1284)	天塩 (1250)	網走 (1347)	阿寒 (1266)	足寄 (1119)	美幌 (1372)	広尾 (1114)	白人 (1131)	布伏内 (1462)	伏古 (1140)	春採 (1462)	北見 (1334)	釧路 (1478)	屈斜路 (1267)	芽室 (1137)	藻琴 (1347)	根室 (1415)	虹別 (1504)	帯広 (1140)	音更 (1134)	斜里 (1327)	白糠 (1464)	十勝 (1123)	塘路 (1473)	智来 (1480)	真岡 (1393)	ライチシカ (1595)	白主 (1280)	多蘭泊 (1257)	鵜城 (1568)	相浜 (1446)	内路 (1423)	新問 (1427)	落帆 (1246)	白浜 (1446)	白浦 (1474)	多来加 (1442)	富内 (1241)	弥満別 (1224)	千島 (1503)	幌筵 (1508)	占守 (1503)	択捉 (1190)	南千島 (1190)
名寄 (1301)	0.565043	0.557004	0.546148	0.557022	0.468364	0.561655	0.551655	0.551733	0.560979	0.584012	0.571327	0.549755	0.563816	0.568194	0.551372	0.584023	0.574149	0.573782	0.584689	0.546824	0.561351	0.569788	0.568194	0.272249	0.581285	0.584762	0.567848	0.600000	0.561169	0.457118	0.176037	0.000000	0.573058	0.562098	0.548140	0.573352	0.269315	0.549370	0.589728	0.265030	0.601706	0.260638	0.606502	0.550353	0.601096	0.573312	0.260320	0.550187	0.632804	0.609489	0.259366	0.261018	0.557809	0.610251	0.278765	0.601641	0.834927	0.824966	0.837644	0.590745	0.724731	0.843654	0.829342	0.833698	0.834357	0.735295	0.829258	0.836024	0.834383	0.735972	0.711866	0.861241	0.862920	0.861241	0.341857	0.336391
宗谷 (1284)	0.376517	0.367983	0.361679	0.369191	0.324883	0.371493	0.363262	0.364843	0.374643	0.382284	0.381542	0.363601	0.375524	0.379363	0.366727	0.382073	0.381836	0.380863	0.382284	0.364385	0.371368	0.380214	0.379363	0.663633	0.386103	0.381869	0.378281	0.370270	0.368922	0.319400	0.626164	0.573058	0.000000	0.051818	0.345312	0.367429	0.660809	0.346616	0.381013	0.659227	0.379620	0.661382	0.380358	0.347772	0.375623	0.366651	0.661889	0.347375	0.405137	0.385362	0.659394	0.657435	0.353087	0.385716	0.668077	0.376510	0.515778	0.491998	0.512107	0.032754	0.287453	0.520075	0.507959	0.520303	0.520738	0.308494	0.507784	0.516449	0.523831	0.307817	0.276362	0.566663	0.567657	0.566663	0.707402	0.706385
天塩 (1250)	0.375067	0.363119	0.357287	0.360585	0.316351	0.365636	0.357774	0.359984	0.372471	0.377974	0.377448	0.358387	0.373596	0.374929	0.363010	0.376771	0.381205	0.379923	0.377974	0.358640	0.365482	0.375846	0.374929	0.662217	0.384417	0.377383	0.377341	0.386486	0.368137	0.313028	0.612352	0.562098	0.051818	0.000000	0.339326	0.361862	0.659411	0.339947	0.380252	0.659093	0.378460	0.658272	0.381861	0.339172	0.377803	0.361481	0.657905	0.341314	0.408231	0.382828	0.658347	0.657645	0.348297	0.386772	0.666502	0.378314	0.524767	0.506021	0.522289	0.071681	0.303966	0.526525	0.519250	0.523833	0.523763	0.322991	0.519117	0.526182	0.525629	0.322314	0.293414	0.569289	0.570304	0.569289	0.707467	0.704994
網走 (1347)	0.611693	0.596408	0.587588	0.597987	0.585431	0.598411	0.589042	0.590470	0.604821	0.295170	0.600175	0.591541	0.607344	0.599269	0.595939	0.297757	0.633130	0.632449	0.295847	0.588939	0.598069	0.600595	0.599269	0.533525	0.625001	0.297413	0.612520	0.610811	0.623125	0.576461	0.577137	0.548140	0.345312	0.339326	0.000000	0.062978	0.525877	0.019130	0.276248	0.545167	0.157822	0.550440	0.166771	0.027024	0.162036	0.058920	0.552897	0.008561	0.510932	0.154364	0.549618	0.547938	0.024893	0.249360	0.537258	0.159520	0.847101	0.839999	0.859056	0.355605	0.754254	0.862793	0.839960	0.852088	0.851416	0.766714	0.839938	0.846405	0.850842	0.767391	0.747803	0.867557	0.868515	0.867557	0.492220	0.481533
阿寒 (1266)	0.621935	0.608808	0.600527	0.611731	0.597747	0.610423	0.600520	0.605072	0.615683	0.300930	0.609376	0.604358	0.618326	0.608389	0.607823	0.304534	0.646309	0.644802	0.301608	0.600527	0.610006	0.609617	0.608389	0.539788	0.636508	0.304134	0.622485	0.627027	0.636913	0.590243	0.592272	0.573352	0.367429	0.361862	0.062978	0.000000	0.528403	0.051656	0.283313	0.553862	0.137990	0.560650	0.145052	0.055561	0.143699	0.012927	0.563858	0.059754	0.506300	0.111831	0.558356	0.557396	0.066849	0.232404	0.540285	0.142276	0.850317	0.845790	0.863142	0.377099	0.759420	0.866085	0.846420	0.856125	0.855545	0.773997	0.846395	0.849792	0.854821	0.773997	0.759499	0.868846	0.869831	0.868846	0.487608	0.474682
足寄 (1119)	0.578283	0.553413	0.544737	0.558864	0.578258	0.568039	0.545008	0.545596	0.570379	0.551052	0.553783	0.550401	0.573328	0.554019	0.550105	0.552030	0.590535	0.589382	0.551052	0.543385	0.567515	0.555273	0.554019	0.020048	0.593721	0.552607	0.578884	0.616216	0.579376	0.567023	0.272435	0.269315	0.660809	0.659411	0.525877	0.528403	0.000000	0.515164	0.407444	0.054882	0.532022	0.064594	0.554016	0.511005	0.549957	0.533633	0.067487	0.523538	0.605526	0.562930	0.062280	0.057870	0.531749	0.467193	0.031881	0.555652	0.848006	0.841423	0.858767	0.670282	0.767849	0.861707	0.842319	0.851236	0.850689	0.778988	0.842283	0.847621	0.848670	0.778988	0.766185	0.865348	0.866357	0.865348	0.331603	0.321289
美幌 (1372)	0.606647	0.591929	0.582250	0.593697	0.581181	0.594416	0.583750	0.585091	0.600287	0.289046	0.594739	0.587056	0.602898	0.593917	0.590432	0.291616	0.628297	0.628191	0.289723	0.583601	0.594039	0.595231	0.593917	0.525472	0.620670	0.291307	0.608130	0.610811	0.618346	0.572073	0.572750	0.549370	0.346616	0.339947	0.019130	0.051656	0.515164	0.000000	0.269786	0.537614	0.147842	0.542979	0.157604	0.014136	0.152869	0.048596	0.545611	0.016275	0.506926	0.147044	0.542134	0.540331	0.030338	0.241660	0.529450	0.150794	0.847167	0.840180	0.858996	0.357134	0.753756	0.862703	0.840907	0.852064	0.851425	0.767276	0.840881	0.846557	0.850154	0.767954	0.750077	0.867172	0.868143	0.867172	0.499197	0.486271
広尾 (1114)	0.284665	0.246391	0.232221	0.254038	0.301441	0.266818	0.231236	0.239092	0.273494	0.158460	0.215749	0.239500	0.276868	0.228937	0.233664	0.165661	0.294799	0.294432	0.159136	0.234253	0.266259	0.228832	0.228937	0.398573	0.295163	0.164700	0.283863	0.348649	0.286852	0.294743	0.589325	0.589728	0.381013	0.380252	0.276248	0.283313	0.407444	0.269786	0.000000	0.377950	0.298102	0.378322	0.298983	0.270633	0.296954	0.285969	0.380018	0.274137	0.342751	0.312229	0.375554	0.382125	0.278710	0.209247	0.398317	0.301845	0.558268	0.555226	0.568361	0.388436	0.478982	0.570457	0.555883	0.560656	0.857516	0.490697	0.555850	0.558027	0.559993	0.490697	0.479673	0.870193	0.871916	0.870193	0.662792	0.653490
白人 (1131)	0.564686	0.532922	0.517486	0.538670	0.573716	0.551899	0.519483	0.523243	0.558479	0.523675	0.527260	0.525984	0.560872	0.527606	0.522324	0.523948	0.578439	0.578496	0.523675	0.516134	0.551291	0.529399	0.527606	0.040224	0.580617	0.524616	0.565538	0.594595	0.566491	0.565336	0.271424	0.265030	0.659227	0.659093	0.545167	0.553862	0.054882	0.537614	0.377950	0.000000	0.564861	0.019402	0.569333	0.537541	0.565275	0.558271	0.024340	0.542977	0.621822	0.588677	0.016805	0.015049	0.550790	0.474870	0.043893	0.573960	0.847364	0.840418	0.856513	0.668535	0.765528	0.859390	0.842635	0.848960	0.848461	0.777682	0.842597	0.847066	0.848395	0.777682	0.765389	0.864433	0.865460	0.864433	0.349930	0.340495
布伏内 (1462)	0.629767	0.622660	0.612509	0.624628	0.618442	0.618396	0.611734	0.616626	0.623766	0.311846	0.617671	0.618026	0.626479	0.617069	0.619967	0.312934	0.646836	0.645243	0.311846	0.615214	0.617937	0.617553	0.617069	0.538342	0.643611	0.313858	0.630154	0.616216	0.640787	0.611615	0.613644	0.601706	0.379620	0.378460	0.157822	0.137990	0.532022	0.147842	0.298102	0.564861	0.000000	0.577746	0.037728	0.146352	0.032998	0.143858	0.580765	0.154978	0.437352	0.061362	0.575364	0.570566	0.162959	0.110575	0.533231	0.038636	0.852606	0.848938	0.865940	0.388633	0.770690	0.868842	0.848241	0.854873	0.854328	0.786956	0.848214	0.852154	0.854914	0.786956	0.770793	0.866465	0.867463	0.866465	0.565235	0.553098
伏古 (1140)	0.562634	0.525503	0.510116	0.531338	0.569746	0.550401	0.513692	0.515576	0.556472	0.522943	0.523606	0.518696	0.558976	0.523484	0.514774	0.522624	0.573942	0.573895	0.522943	0.508764	0.549761	0.525351	0.523484	0.052983	0.577316	0.523516	0.563573	0.600000	0.562798	0.560904	0.266992	0.260638	0.661382	0.658272	0.550440	0.560650	0.064594	0.542979	0.378322	0.019402	0.577746	0.000000	0.579113	0.543376	0.577083	0.564911	0.009489	0.548344	0.630553	0.597558	0.008080	0.015245	0.555698	0.488423	0.058169	0.584695	0.847854	0.840173	0.855014	0.671491	0.765267	0.857903	0.843810	0.848183	0.847683	0.776831	0.843770	0.847575	0.846971	0.776831	0.765892	0.863814	0.864843	0.863814	0.353711	0.344523
春採 (1462)	0.629562	0.623189	0.610806	0.625854	0.621179	0.620221	0.611047	0.617474	0.623966	0.312616	0.620123	0.616251	0.626490	0.617963	0.619172	0.316465	0.644802	0.645414	0.312616	0.613512	0.619804	0.619045	0.617963	0.557145	0.643167	0.315729	0.630369	0.616216	0.639147	0.615114	0.618496	0.606502	0.380358	0.381861	0.166771	0.145052	0.554016	0.157604	0.298983	0.569333	0.037728	0.579113	0.000000	0.157440	0.012838	0.148795	0.581921	0.163895	0.426681	0.059079	0.578776	0.574640	0.166207	0.110997	0.549871	0.024434	0.852413	0.849754	0.862803	0.389619	0.769543	0.865642	0.848837	0.853611	0.853768	0.785056	0.848817	0.851946	0.853552	0.785056	0.770537	0.864393	0.865389	0.864393	0.563855	0.551758
北見 (1334)	0.606463	0.591344	0.581722	0.593122	0.581282	0.593488	0.580633	0.584379	0.600160	0.289809	0.593227	0.586567	0.602858	0.590919	0.589823	0.292200	0.628343	0.628145	0.290486	0.583074	0.593089	0.592255	0.590919	0.521814	0.620583	0.291973	0.608034	0.610811	0.618508	0.571734	0.571058	0.550353	0.347772	0.339172	0.027024	0.055561	0.511005	0.014136	0.270633	0.537541	0.146352	0.543376	0.157440	0.000000	0.152028	0.054738	0.545275	0.025010	0.511431	0.150148	0.541871	0.539896	0.038556	0.239866	0.526601	0.150904	0.847076	0.839998	0.858270	0.358590	0.754894	0.861990	0.840195	0.852776	0.852142	0.767971	0.840163	0.846517	0.850915	0.768648	0.751500	0.868701	0.869680	0.868701	0.502498	0.490332
釧路 (1478)	0.328210	0.323189	0.309453	0.325178	0.319826	0.318194	0.309018	0.316798	0.320587	0.309233	0.320123	0.315575	0.323111	0.317282	0.317143	0.313083	0.344126	0.344063	0.309233	0.312159	0.317777	0.319045	0.317282	0.553087	0.342491	0.312346	0.329018	0.321622	0.336444	0.313761	0.615790	0.601096	0.375623	0.377803	0.162036	0.143699	0.549957	0.152869	0.296954	0.565275	0.032998	0.577083	0.012838	0.152028	0.000000	0.147442	0.580568	0.159160	0.123978	0.058403	0.574717	0.570582	0.162824	0.104916	0.547841	0.017677	0.553765	0.551781	0.564830	0.384884	0.472246	0.567669	0.549513	0.555638	0.853092	0.487765	0.549493	0.553297	0.555579	0.487765	0.472569	0.863718	0.864714	0.863718	0.561149	0.549052
