en	kana	kanji	空念	八雲	長万部	幌別	平取	貫気別	新冠	様似	帯広	釧路	美幌	旭川	名寄	宗谷	落帆	多蘭泊	真岡	白浦	ライチシカ	内路	沙流	千島	占守	幌筵	南千島	弥満別	白浜	新問	多来加	智来	鵜城	根室	千歳	屈斜路	近文	穂別	礼文	足寄	天塩	虻田	白老	富内	春採	十勝	鵡川	有珠	白糠	静内	日高	虹別	荻伏	浦河	斜里	阿寒	伏古	厚真	北見	網走	室蘭	白主	高島	広尾	相浜	芽室	塘路	布伏内	江部乙	萩野	白人	幌満	択捉	音更	高江	三石	藻琴	豊浦
shin	すね	臑		nisap		nisap					utcikama,(前後含めて)		nisapmakka,ponetuka	nisapmekka,(N),utcikama,mekkasi,(N,H)《膝頭からくるぶしまでの骨の上》	utcikama,nisap,kirkew《膝を含めて膝から下の部分》	kemamekkàske,-he		nicih(p-i),utonin(-i)		mecih(p-i),mecis(p-i),nisah(p-i)	nisah,-puhu		nisap		shihiriboni,(脛139)				mecis(前脛部,向ふ脛),nisah(脛、すね),utonin(脛、すね),utunin(脛、すね)		mecip(-i),utunin(-i)					nisapmekka	nisapmekka																																									
calf	ふくらはぎ	脹脛		yontekkam		yontekkam,,utcikam					yontekkam		utcikam,,yontekkam	yontekkamihi	rikkake	ucikamhi					uhcikamhi		utcikam						uhći-kam(腓腸筋、こぶら)																																																	
ankle-bone	くるぶし	踝		tokonpone,(-he)		tokonpone,(-he)					tokonpone		tokom,tokompone,auntokompone,osoynantokompone,soyuntokompone	cikiri,tokom	tokonpone	tokonpone,-he		uhkaponi		uhciponi	akuhponi,-hi		tokonpone,(-he),tokompone						uhći-poni(踝、くるぶし)	tokompone	tokompone			tokonpone/tokompone(黒ぶし|[森の(ような)骨])		tokompone	tokompone				tokompone		tokompone																																			
pulse,of,the,foot	あしくびのみゃく	足首の脈									cikirsanpe		cikissanpe	cikirsanpe	cikirsanpe						kemasanpe,-he																																																									
foot	あし	あし		ure,ure,(-he),paraure,(指の部分)	cikir	cikir,ure	paraure,ure	ure	ure	cikir	parawre,parawre	cikir,cikir(足),kema(足),kemaha(足)	parawre,cikir,paraure	paraure,cikir,cikir,para()ure	ure,parawre,ure,parawre,[稀]	parawre,parawre	parauri	paruure,kema	parure	kema	kema,(urekucis)paraure,kema,-ha	kema,parauri	ure,(-he),parawre,(-he)		kema(足),kemakir(足),kemo(足)		cinkew(足)		čin(足),kema(足)					kema《足|[縹蹴る?]》,cikir《足|[我が居るのを任せる]》																																												
heel	かかと	踵		kesup		kesup					kesup	kesupi(踵(かかと、きびす))	kesup,kesup(-i)	kesup	kesup	otokonkewhe				horokakesuh(p-i)	otokonkema,-ha		kesup,kesup(-i)													kesup(-i)					kesup(-i)																																					
instep,[of,the,foot]	あしのこう	足の甲		uremekka		uremekka,paraure					parawremekka		uremekka,uremekka(-si,-si-ke)	cikirmekka	uremekka	kema,mekkaske,-he				paraure	paraurekaske,-he		uremekka,-si						paraure(足背),paraurekas(足背)		paraureka(-si,-si-ke)			uremekka(足の甲|[足の平らな上]),parawre(足の甲先|[広い足])			uremekka(-si,-si-ke)								uremekka(-si,-si-ke)																																	
sole,[of,the,foot]	あしのうら	足の裏		urekotor,,ureasam,,urepok,(指の下)		cikirasam,,cikirpok,,ureasam,cikirasam(-a),cikirpok(-i)					parawrekotor		ureasam,cikirasam,cikirasam(-a),kepneurepok(-i),uretoy(-e)	cikiri,ureasama	ureasama,cikirasama,[稀]	uretoy,kemaasama				kemaasan(m-a),kemaosista,urepoh(k-i)	kemaosistaake,-he		urekotor,ureasam,urekotor(-o)		porura,(足底,139)				kema-asam(足裏、あしうら),kemera(足裏),ure-poh(足裏、あしうら)			kemaosiste		ureasam(足の裏|[足の下])		cikirasam(-a),hureasam(-a),kepneurepok(-i),urasam(-a)								urepoh(k-i)																																		
body	からだ	体		netopa,,netopake		netopake,,netopa					netopake	kew(身体、骨),tumam(身体(からだ)、胴)	netopake	netopake	netopake	netopake				panike,penran(m-u),topaki,tuman(m-a)	netapake,-he		netopake,pannis(-i),panram(-u),paysir(-i),pencor(-o),pennis(-i),pokisir(-i),usatumam(-a)		kamba,(137)				netopa(体、からだ),topaki(体、からだ)								tumamnoski																																									
hair	け	毛		numa,numa,(-ha),kiski,(-hi),(一本一本の)	kiski	numa,numa,(-ha)	numa	kenuma	kenuma	numa	numa,numa	numa,numa(毛)	numa,numa	numa,numa	numa,numa	kenuma,numa	numa	numa	numa	numa	numa,numa,-ha	numa	numa,(-ha)						numa(毛)																																																	
body,hair	たいもう	体毛		netopakiski		kenuma					kenuma	numa《毛》	kenuma	kenuma	kenuma	kenuma,-ha					netapake,-he,numaha		kenuma																																																							
skin	かわ	かわ		kap,kamkas《皮膚》		kap					kap	kapu(皮、外面),rus(皮),tus(皮)	rus,kap,は《乳房》	kap(hu)	kap(hu)	kaphu					kah,-puhu		kap						kah(皮膚),rus(皮,)					kapkaske《肌|[皮の上]》																																												
surface,of,the,skin	ひふのひょうめん	皮膚の表面		kapkaske,kamkap《一番上のうすい皮》		kankapka,-si(ke)					kamkasike		kamkaske								kankasike,kamihi,tetanno《肌が白い》,kamepirika《肌がいい》		kamkasike						kamka(肌、はだ)					kapkaske(肌|[皮の上])																																												
wrinkle,line	しわ	皺		nankaske,ponrir,o《顔にしわがよっている》		nankap,kocipcipse《顔がしわだらけである》,kapkoyrir,[雅],kapkoyrir(-i)					usay,o《しわがよった》		komomse《しわがよっている》	(nanuhu,kapu),yoninke	kapu,yoninke,yomumke	忘れた					ukayukayse,ukaecuhcuhse[老],kanru,-wehe,(幼児など太っていてよるしわ)		(kapuhu),ukay《しわがよっている》,nucittek《年とってやせてしわがよる》																																																							
birth-mark	あざ	痣		忘れた,kunnekes,o,seta《黒ぶちの犬》		iro,potur,potur			hureisomeciw(-e),isomeciw(-e),kunneisomeciw(-e)		anca		turkes	kemotok,(打ち身などでできる),poro,kunnekes,(生まれつきの黒い)	kunnekes	忘れた					aca,ancaw,raykamhi《青あざ》		tenki										ancaw(-e)	pokes(あざ|[汁の流れた跡])		pokes(-i)	kunnekes(-i)																																									
mole	ほくろ	黒子		忘れた		potur			poturkes(-i)		anca		turkes	(pon),kunnekes	turkes	忘れた			raykan(m-i)	ancaw(-he)	ancawhe		poturkes,poturkes(-i)						ancau(黒子、ほくろ)								kunnekes(-i)																																									
wart	いぼ	疣		erumtanpu		erumtanpu					erumuntama		returkes,erumtama	erumtomtom	tomtom(一生残る),erumtama(一時的),erumtampu			haraka	haraka	hayaraka	hayaraka,-ha		ermutanpu,erumtampu		anci(いぼ)				hayaraka(疣,いぼ)				hayaraka			eremumtara	erumtama,erumtomtom(-i)								eremuntama																																	
lump,growth,bump	こぶ	瘤		nin,totse《ninのくずれたもの》		totce					tokom		nintak(ころんだりしてできた)	nintak	tokom,totce(打たれてできた),nin~nintak(けがや病気でできた)	nin,nin,asin《こぶができた》				nintah(k-u)	sitanku,-hu,(大きな),ninhi[老]		totce《打ち身でこぶができる》		pannope《脂肪腫》				kamasin(瘤、こぶ,をもつ物),kankikara(瘤)							nintak(-u)																																										
tattoo	いれずみ	刺青		sinuye,unuye,[動]		sinuye,[名・動]					sinuye,[動]		sinuye,[動]	panay,(耳のそばまである大きい),poy,sinuye,(口のまわりだけの小さい)	sinuwe	sinu(y)e					sinuye,-he,[名・自],inuye,aynu,《いれずみする人》		sinuye,[名・自],nuye						sinuye(入墨)					keso(入墨|[形づける]),sinuye(入墨|[炭をうつ])																														sinuwe(-an)														
sweat	あせ	汗		poppe		poppe,nupoppe,poppewakka									pop,poppe					nupohpe	pohpe,-he								nupohpe(汗)							pokkoy(-e)																																										
to,sweat,to,perspire	あせをかく	汗をかく		poppenu,,poppe,oasin		poppenu,nupoppetarikan(-an),nupoppeun(-an),poppenu(-an)			poppetasin		poprayke		poppenu,nupoppeun(-an)	kasi,wakka,kus,,enka,wakka,kus	pop,asin,,enka,wakka,kus	kasike,wakka,kus				nuketapuyse(-an)	pohpe,asin,,pohpe,cokokohse《だらだら流れる》		poppeta(a)sin,poppetasin		kpopenuwa(私は汗をかいた)				nuketa-puyse(汗をかく)				pohpeasin(-an)			pokkoy(e)-tuk	ka(si)-wakka-kus,poppenu(-an)																																									
dirt	あか	垢		tur		tur					tur		tur	turhi,turihi,etuk,《垢が出る》	tur	tur		turu	turu	turu	turu,-hu~ihi		tur		tur(ダート)				tur(垢)		tur(-i)													turu																																		
blood	ち	血		kem,kem	kem	kem,kem	kem	kem	kem	kem	kem,kem	kem,kem(血),kemi(血)	kem,kem	kem,kem	kem,kem	kem,kemhe	kem	kem	kem	kem	kem,kemhi	kem	kem		kem,(140),kem(血)				kem(血、血液)					kem(血|[体に溜まって出ない])																																												
to,bleed	ちがでる	血が出る		kemnu(にじむ),kem,oasin(ポタポタと)		kemnu					kemnu	kemkus(出血する)	kemnu,kemasin	kem,etuk,kem,ran《血が流れる》	kem,nù,kem,asìn	kem,nu			kemasin		kem,asin		kemnu																																																							
blood,vessel	けっかん	血管		kemrit,-ci		kemrit,-ci					kemrit,-ci		kemrit	kemrit,-ci	kemrit,-ci	rit,-cihi				kemorih(c-i),kenris(c-i)	kemooris,-cihi		kemorit,-ci						kemo-ris(血管),sampe-ah(心臓に近き大血管)							kemrit(c-i)																																										
flesh	にく	肉		kam		kam					kam	kam(肉)	kam	kam	kam	kamhi					kamhi		kam		kam(肉)				kam《筋肉》,mim《魚肉》,notan-mim《頬肉》,osoro-kam《尻の筋肉》,uskuy-kam《臀部の筋肉》																																																	
bone	ほね	骨		pone,pone,(-he)	pone	pone,pone,(-he),kew,[合成語中]	pone	pone	pone	pone	pone,pone,(-he)	pone,kew(身体、骨)	pone,pone	pone,pone	pone,pone	pone,pone,-he	poni	poni	poni	poni	poni,poni,-hi	poni	pone,(-he)						poni(骨)		pone																																															
marrow	こつずい	骨髄		pone,kir	pone	pone,kir	pone	pone	pone	pone	pone,kir	pone	pone,kir,kireni	pone,kirihi	pone,kir	pone,忘れた	poni	poni	poni	poni	poni,cikiri,-hi	poni	kir						kiripu(髄)																																																	
joint	かんせつ	関節				ukot,-ci,,hom,(指等の),hom(-i)			ikre,komkeusike,riciuwousike		ikra,(-ha)		ikra	ikra		uweusike,-he		ikura		ihci,ihri,isci,isri	isri,-hi,,isris,-cihi,[丁]		pone,uweeroski,hi,,ikre,(-he),(指等の)						isiri(関節)		ikra,kum(-i)						ikra																																									
strength	ちから	力		kiror,,tum,,rit		kiror,,tum						kiror(力、才能),maw(力、味、品性)	cikara,,tum,,kiror	tum	tum	tum					kiroro,-ho		tum,,kiror,《大力》																																																							
to,get,skinny	やせる	痩せる		sattek		sattek,ouse,ponehe,cikapkokari,kane(,sattek,wa,ouse,ponehe,an(					sattek		sattek	sattek	sattek	sattek					sahteh,-k		sattek						aye(痩せたる)																																																	
painful,sore,hurting	いたい	痛い	arka	arka,,nitkus,(棒でもささるように),sikayus,(肩が),iyunin,《“そこやめにやめる”》		arka,,iyunin,ayyoayyo,sikayeus					arka,tasra,《うずく》	arka(痛い、痛む),hayya(ああ、痛い、情けない(苦痛とか落胆を表わす))	arka,tasum	araka(身体の内部が),tasum(,),iunin(たたかれて,ぶつかって),tasara《うずく》,iusmaokoro《さしこんでくる》	arka,iunin(たたかれて,ころんで)	arka,honi,arka,《腰が痛い》,noypor,koni,《頭が痛い》				ray,tura,uneno,araka	araka(急に),yuunin(ひどくないが永続的に),tasum(骨等ひどくキリキリと)		arka,(一般),iyunin,(ぶたれて,ぶつけて),koni,(ひどく),tasra,《うずく》		arkawa(痛み),iyarkari(痛いです),itasasa(痛いです)				araka(痛)				cikahkaukahkaaraka,ekomoaraka,ekuhkuruaraka,herariaraka,nastenastearaka,niusaraka,tasasikearaka,ukoyupu(-an)	ikoni(疾|[痛み腐る]),ponetomkoni(骨痛|[骨に当たって痛む])		tasra,tasratasra					sikayus				itasasa																																	
itchy	かゆい	痒い		mayayke,,kisrototki		mayayke					mayayke		mayayke	mayamayak,,mayayke《かゆいできもの》	mayamayak,,mayayke《ひぜん》	mayamayak				mayayke(-an)	mayayke		mayayke(《ひぜん》も)		iyēkiki,(140)				mayayke(痒い)					mayayke(ひせん|[かゆい])																																												
to,laugh,(at)	わらう	笑う		mina,,pimina(クスッと),ohonkosanpa(がまんしていてプッと)		mina,emina					mina	emina(･･･を笑う),mina(笑う),minamina(笑う、よく笑う、笑い続ける)	mina	mina,emina《ばかにして笑う》,niknikse《クスクス笑う》	mina,emina	mina		usaekara(-an)			miina,emiina,ewoomiinausi(皆でドッと)		mina,emina,pituntunke(クスクス)		minā(121)		mina(笑え),e-mina(笑う)		mina(笑ふ)																																																	
D.,to,cry,to,weep	なく	泣く		cis,picis,(声を立てないで),rayayayse,(子供がワアワアと)		cis,(一般的),waywayse,《ワイワイ泣く》,rayayayse,《ワイワイ泣き叫ぶ》,rayayayse(-an),wayse(-an)			nirewewe(-an),niyorkar(-an)		rase,(声を立てて),cis,(だまって)	cis(泣く)	cis	cis,sesserke,《すすり泣く》,paraparak,(ワンワン),rayciskar,(葬式の時)	cis,paraparak,(大声で)	cis					cis,rayayayse,(子供が大声で),senohnohkicis,kii《泣きじゃくる》		cis,rayayayse,(ワアワア),paraparak,《泣きわめく》,paraparak(-an),rayayayse(-an),raykirirse,sieyaykapar		cis(泣く),e-cis,wa(泣く),gaqutuypa(泣く),kaquiki(泣く)				čis(泣く)																																																	
to,walk	あるく	歩く		apkas	apkas	apkas	apkas	apkas	apkas	apkas	apkas	apkas,apkas(歩く),omanan(歩き回る、行き来する、旅する)	apkas	apkas	apkas	apkas	ahkas	akkas	ahkas	ahkas	ahkas	akkas			aynu,omanan(散歩),yaynesirka(歩く),kanpaesru(歩く),sattekieken(歩いて行く)																																																					
sit,[e.g.,on,the,floor]	すわる	坐る		a	a	a,kokkaea	a	a	(mona)a	mona	a	a,a(座る),rok(座る)	a,a,wa,cikitturiri,kiruosore(-an)	a	a	a	aa	aa	aa,ucinkorosi(-an)	aa,kumusewah(k-an),yurukire	aa	aa	ciniaciw,esankokkaesitciwre,hopecinea,houmsamomare(-an),kema,turi,wa,siyosmaktekeciw,koesankokkaesitciwre,kokkaea,kokkaeas,kokkakisarkor,kokkatekeciw(-an),oarkireaciw(-an),oarkokkaea,osoroea,siyosmaktekeciw,ukirosere(-an),unnikor,wa,mono,a,unnikorea				kon,ahun,ya《座れ》			hocipiapo,eyayuwe,nahte,yayakankara(-an)			ekemarewte,etaras,kane,a,mahnekuha,mahnekuha,ki,ureukousi(-an)			iosmaktatekopite(-an),kiruosoro(-an),komusikaewak(-an),nispaea,oniko(-an),opecinasi,osoro,cuy,sikotcata,tekukopite,sikotcatekopite(-an)																																										
to,stand	たつ	立つ		as	as	as	as	as	as	as	as	as,as(立つ、立ちどまる),roski(立つ、立ちとまる),ukoroski(一緒に立つ)	as	as	as	etaras	etaras	etaras	etaras	etaras	etaras	etaras					kon,as《立つんだ》																																																			
to,lie,down	ねる	寝る		hotke,,kuttoko,《仰向けになる》,uppus,《うつぶせになる》		hotke,,situriri,kuttokonohotke(-an),upsinosituri(-an),utorsamne(no)-hotke(-an)					hokke	hokke(横になる),hotke(横になる),bokke(横たわる、寝る※)	hokke,mukkamama	hotke,,kuttokono,,(仰向けに),utossamne,,(横向きに),situri,wa,,(身体をのばして)	hotke	hotke,,kematuri,《方言,:,ながまる》				hohke(-an),otonaykari	am,,hohke《ふとんへはいって“ながまる”》		hotke,kuttokonohotke(-an),sanashotke,upsihotke(-an),utorsamne(no)-hotke(-an),uweosehotke		shap,kandara,noki,(141),xokke(横になる),xokkenuwa(横になる)				hohke(寝る)				uhsinamponetokay			sirokeppari(-an)																																										
to,sleep	ねむる	眠る		mokor	mokor	mokor	mokor	mokor	mokor	mokor	mokor	mokor,mokor(眠る(ねむる))	mokor	mokor	mokor	mokor	mokoro	mokoro	mokoro	mokoro	mokoro	mokoro			xokkemokur(寝る)		mokor(眠る)		mokoro(眠る)																																																	
sleepy	ねむい	眠い		mokonrusuy		mokonrusuy					mokonrusuy		mokonrusu	mokonrusuy	mokonrusuy	mokonrusuy			mokon,rusuy,ran,(an-)koro,mokonrayki,ran,(an-)koro,mokonrayki(-an),mokonrusuy(-an),etohserayki(-an)	mokon,rusuy,ran,(an-)koro,mokonrayki,ran,(an-)koro,mokonrayki(-an),mokonrusuy(-an)	mokonrayki,henoye《いねむりする》		mokonrusuy														mokonrusuy(-an)							etohserayki(-an)																																		
to,snore	いびきをかく	鼾をかく		etoro		etoro					etoro		調査もれ	etoro	etoro	etoro				etoro	etooro,etooro,haw《いびき声》		etoro						etoro(鼾、いびき)																																																	
dream	ゆめ	夢		cinita,(-ha),tarap,("大人の尊いことば")		tarap,wentarap,takar,[雅]					cinita		cinita	cinita	cinita《うなされ》,takar	忘れた					tarah,-pihi		wentarap						tarah(夢)																																																	
to,dream	ゆめをみる	夢を見る		cinita,takar,tarap		tarap(-i					cinita	takar(夢を見る)	cinita,takar,wentarap(-i	cinita	takar	wentarap				tarah(p-i	tarah,-p,takara,tarah,kii		wentarap,takar,cinita,は《うなされる》													hottakar	tarap(-i,wentarap(-i																																									
to,wake,up,to,awake,[intr.]	さめる	睲める		mos		mos					mos	mos(目が覚める、目を覚ます)	mos	mos	mos	mos					mos		mos						monas《醒めてゐる、おきてる》																																																	
to,be,alive,to,live	いきている	生きている		tusa	tusa	siknu	siknu	siknu	siknu	siknu	siknu	siknu,ankananpe(生きている人、生きているもの)	sitnu	siknu	siknu	sikno	sisnu	siknu	sisnu	sisnu,rankoro	sisnu	sisnu			ayras(生きる),nakayki(彼は生きていますか？),siknuwa(生きている)		iwanke-an,wa(生きている、健康である)				siknu(-an)		rankoro																																													
to,die	しぬ	死ぬ	ray	ray	ray	ray	ray	ray	ray	ray	ray	ray,ray(死)	ray	ray	ray	ray	ray	ray	ray	ray	ray	tay					ray(死ぬ)		ray(死ぬ)					cupray《交蝕|[太陽が死ぬ]》																																												
dead,body,corpse	したい	死体		raykur,,kokkop,,rayot《こもにくるんでしまった死体》		raykew						raykew(死体、遺体)	raykurpone	momkur(H),raykur(N),aynu,kayseyehe《がいこつ》	raykur,(aynu),tukap《死人》,sumaw《動物の死骸》	raykur				raynokew(-he)	kespe		kew《死体》,raycep《動物の死骸》,sumawは《殺した熊》,aynukaysey(-e),aynukursey(-e)		raikuru(死者135)				muskaneken(屍体),rayno-kew(屍体),sunteh-kew(屍体)					kaysey(亡者),raykur(死人|[土の底にまがる者])		mukuru																																										
to,get,tired	つかれる	疲れる	sinki	sinki		sinki					sinki		sinki	sinki	sinki	sinke			sinka(-an)	sinka(-an)	sinka		sinki		nokataki(141)				sinka(疲れる)				etaskasuh,noyteh(k-an)																																													
illness,sickness	びょうき	病気		tasum,siyeye		tasum					iunin	tasum《病む》	siyeye,《ちょっとした病気》,yaykaoma	tasum《重病》,tumuwen(寝たり起きたりの状態)	tasum《ねこんでいる》,siyey,《(一般に),病気》	siee,《なが病気》			tasun(m-i	tasun(m-i,ikoni(-an),ikonimawkoro,ikonius	araka		siyeye,tasum,siyeypa(-an),yaynu		ushokat,(病人,137),arka(病気),arkakur《病気の[人]》,karkawa《私は病気です》		ikoni(病気)		araka(病),ikoni(病),tasum(病気)		arka(-an)		nisahnearaka	opatatce(痢病|[破れ垂らす]),siyeyekur(病人|[病者]),tomowen(疾|[心体悪い])										ikonimawkoro																																		
to,catch,cold	かぜをひく	風邪をひく		omkekar		omkekar					omkekar	omkekar(風邪をひく)	omke,,omkekar,(ひきかかる)	omkekar	omkekar	onke,,onke,kar,《"風邪気味だな"》				onkekara(-an)	onkekara		omkekar						onke-kara(風邪ひき)																																																	
wound	きず	傷		pir,pitce,(ちょっと皮をむいた程度)		pir,kasrepir(-i),rawnepir(-i)					pir	piri(傷(きず))	pir	pir	pir,pir,oma~piroma,《傷ついた》,yaypiromare,《》,tamapir(-i)	pir		macis(r-i)	maciri	maciri,ura	piri,(大きい),maciri,(小さい),pirikoro,kii,《傷をする》		pir,pir,o~piro,《傷つく》,pir,oma,《》,tampir(-i)						maćiri(傷),pir(傷)		macir(-i)																																															
burn	やけど	火傷		moyoyke		yomomke					picitce	picitce(やけど)	picitce	ci(火・湯で),,yaycire《自分でくっつけてやけどする》	ci,,yaycire	(sesekka,onne),sitappa				rimonke(-an),sitahpa(-an)	rimonke,,yayrimo(m)mo,,sitahpa(大きく,深く)		ci,,yaycire,《自分でやけどする》						rimonke(火傷),sitahpa(お湯で火傷する)				yayrimomo			picitce																																										
chilblains	しもやけ	霜焼け		uweci		uweci,meeci					uweci		uweci	uweci,mecire	uweci	uweci			uweci	esahrupuskah(p-u),rupuskah(p-u)	weeci,-yehe,weeci《しもやけになる》		uweci《凍傷になる》,kettok《寒さ,冷たさのため赤くはれる》,mecire《“水かぶれ”》						esahrupus(凍傷の初期、しもやけ),rupuška(凍傷さす,、潰れた凍傷)				esahsahke				uweci																																									
boil,eruption	できもの	出来物		hup		kamasin,,numasup(膝等の悪質の),hup,oma					ietu,,numasu《ねぶと(?)》	cima《かさぶた(腫れ物・傷などが直るにしたがってその上にできる皮)》	iyetu(siwpi,,numasut,,cima,等あり)	hup	hup,,popo[児],numasup(悪性のもの)	eto,mayayke《手に出て来る痒いもの》			asispe,wetu	asispe,ehatasumpe,huhpe,icohcakikiriciseasispe,numasuh,takahkehuhpe	asispe(細かい),huhpe(大きな)		hup,,numasut(幌に同じ)		shiri,(腫物,140)				asispe(ねぶと、癤),huhpe(腫れ物)				asispe,ehatasumpe,huhpe,ecisnetamatasumpe,erumtasumpe,esamantasumpe,heunnayhuhpe,imukinatasumpe,kepitenkihuhpe,mompehetokotasumpe,sumaritasumpe,tomonkacicisehuhpe,ukurupehuhpe,ukurupetasumpe	hup《腫|[腫れる]》,hupoma《腫物|[腫れたつ]》		ietu,iyowasip,popo,yetu	ihupka,tomtom(-i)								ietu,pakewencimao																																	
pus	うみ	膿		ye,(-he)		ye			hup,o,wa,par,o,paro,wa,yenu,yenu,yeot		ie		iye	ie	ie,-he	ye					yee		ye,yeot						ye(膿、うみ)							yenu									yenu																																	
to,swell,to,become,swollen	はれる	腫れる		hup		hup					hup	putke《ふくれる、ふくれるように増える》	hup	hup,ihupka<<(手が)はれた>>	hup	hup					huh,-p		hup,totce(打ち身で)						hus(腫れる)					hup(腫|[腫れる])																																												
medicine,drug	くすり	薬		nimawhe《せんじ薬》,kusuri《医者の薬》		kusuri					kusuri	kusuri(薬)	ない	kusuri	ない	kusuri,[日本語?]			kusuriwahka	kusurikina,kusuriohaw(-he)	kusuri,-yehe〜-hi		kusuri																																																							
poison	どく	毒		surku		surku					surku	rukane(毒),surku(毒)	surku	surku	surku	surku					suruku		surku,rukani		shuruku(146)				suruku(毒)																																																	
doctor,physician	いしゃ	医者		nimawkarkur,,isasama		pitaranispa					isannispa	ishatono(お医者さん、医師)	ない	ikaoykikur		isantono,[日本語?]					ない,tusukuru,がその代わり		isanispa		ikaraikuru,(135)								kusurikaraaynu	hesirtono?(医者|[疑い探す殿])																																												
person,[man,in,general]	にんげん	人間		aynu,aynu	aynu	aynu,aynu,,utar,《人々》	aynu	aynu	aynu	aynu	aynu,aynu	aynu,pito《人》,pito-utari《人たち》	aynu,aynu	aynu,aynu,-kur,,aynu,utar,《はらから》	aynu,aynu,-kur,,utar,《人々》	aynu,aynu,,tono《上の人》	aynu	aynu	aynu	aynu	aynu,aynu,,enciw[良],tono,utah《偉い人》	aynu	aynu,,kur,《…ひと》,utar,《人々》,aynupito		aino,(118),kuru,(120),guru,(123)		aynu(人間)							sisam(人|[誠の生まれた様])																																												
man,male	おとこ	男	okkay	okkayo,okkayo	okkayo	okkayo,okkayo,sikewetara,sukupporop	okkayo	okkayo	okkayo	okkay	okkay,okkay	okkay,okkay(男),pinne(男の、雄の)	okkay,okkay,rukotcakorkur	okkayo,okkayo,(N),okkay,aynu,(H)	okkayo,okkayo	okkayo,okkayo	ohkayo	okkaw	ohkayo,ohkaw(-he)	ohkayo,ohkay(-o)	ohkayo,ohkayo	ohkayo	okkayo		okkai,(122,136),okkay,aynu(男),okay(男)		okkay(男)			aynu	okkay(-o)			okkay(男|[その上に重なる])							ehoykonin																	oponkiri,otoykonin(-i)																				
woman,female	おんな	女	menoko	menoko,matnekur,menoko,,matnekur,,mataynu	menoko	menoko,mat,mat,,menoko,,kurmat,(和人の),menoko,moyremat(-i＞ci),siwentep(-i)	menoko	menoko	menoko	menoko	menoko,menoko	menoko,mat(妻、女),matne(女の、雌の),menoko(女、女性(広義))	menoko,menoko	menoko,mataynu,mataynu,(成年の女子)	menoko,mat,mat,,menoko	meneko,meneko	mahnekuh	maynepo	mahtekuh,kahkemah(t-i＞ci)	mahneku,meroko	mahtekuh,mahtekuh,-rihi	mahnekuh	menoko,,mat,,kurmat,(和人の),menokoaynu,utarkes(-i)		turesh,mat,(136),machi,(162),mat(女),mat(女性)		menoko(女)			mahnekuh(ru-ru)			mahtekuh(ru/-ru)	menoko(女)																																												
baby	あかんぼう	赤ん坊		teynep,pon,ayay,ayay,(少し笑うようになった頃)		sontak,sion,ponpe,ayay,cikaytennep,ocina,ponocina,tennep				ponco,popo,sitaktak(-u),soomap	sius	tennep(赤ん坊)	yarpeoromap,kossipo,popo,poysi,poysontak(-i),sipo,sontak(-i),yarpeomap(-i),yarpeoromap(-i)	pon,sispe〜poysispe,yarpe,(3,4歳まで)	yarpe,teynep,sion,osus,ponpeは《小さなもの》,poysion,sion	tennep	ohampe,cisinah(p-i)	ahkapo,ohampe,ponohampe	ahkapo,ohampe,cisinah(p-i)	kenneh(p-i),ponkene,ponkenneh,raysahpe	uhuasinpe,pontennehpo,[老],ponkennehpo,[老]		ponayay,ponpe,sius,iwatarap,ocina,pompe,ponocina,sion,tennep		temnep(幼子135)								ahkapo	tennep(赤子|[濡れた物])	poysomomap,son,soomap	popo,yarpeoromap(-i)	numattomuspe,pomposta,ponoperke,poysi,poysiontak(-u),poyyarpe,siontak(-i),yarpe	teynesi			popo,poysion,sion,tennep						yarpesamomap(-i)						sikoteyne					pompe,teynesi						osus(-i),ponosus					poysiuspe			popo		yarpe				
child,children,[in,general]	こども	子供		hekaci,hekaci,hekattar《子供たち》	hekattar	hekattar,hekattar,sion(かわいがってよぶ言葉)	hekattar	hekattar	hekattar	hekattar	ekaci,ekaci(一人),ekattar《子供たち》	ekaci,ekaci(子供),ekattar(子供ら、子供たち),po(子(親に対する)、子供(一般に)),poutari(子供たち)	ekaci,ekaci(一人),ekattar《子供たち》	ekattar,yarpe,pon,posta(男),ponoperekep,(女),ekattar	ekattar,nokankur,ekattar《子供たち》	hekaci,hekaci	poo(親に対する?)	hekaci	hekaci	hekaci	hekaci,hekaci,(10歳前後),hekaciutah,《子供たち》,hacikoo,ponhekaci,(2-4歳),ahkapo,(5-7歳)	hekaci	hekattar《子供たち》(7,8-15,6歳),poyson(7,8歳迄),sion(かわいがってよぶ言葉),nokankur(大人に対する)		bonbo,(135)				po(子)					po(子供|[子供])																																												
(little),boy	しょうねん	少年		okkayohekaci		hekaci					okunekaci	pinnepo(男の子)	okkay,ekaci,ponekaci,ekaci,ekattar(-i),okkayoekaci,poysikuppe	ekaci,poro,posta	okkayo,ekaci,opususke,okunnep,[悪]	kaynopo,(10-12,歳),okkaypo,(15-16,歳)			kaynu,ponekaci,kato,ponkaynu	kaynu,ponekaci,imanehpo,kayno	ohkayohekaci,(10-15,歳)		hekaci,hekaci		pon-po,small-child(少年),kumi(男の子)		hekaci(少年)							okkaypo(男ノ子|[男子])		ponekaci,ekaci,okkayoekaci	ponekaci		hekaci					ponekaci				hekaci													hekaci						ekattar(-i)											
